tSNE1,tSNE2,Split
-26.14764,-12.777487,Total
-26.874765,-11.735213,Total
-24.668726,-11.674998,Total
-24.947424,-7.918058,Strat
-25.571474,-10.670252,Total
-25.62919,-9.679665,Total
-27.415339,-9.942265,Total
-11.781426,7.320467,Total
-26.294598,-10.881711,Total
-24.684412,-11.624442,Total
-24.956629,-7.962412,Total
-27.84701,-11.938031,Total
-23.143871,-11.921692,Total
12.740816,-13.585396,Total
-32.68038,21.465809,Total
18.416334,-2.6897998,Total
-16.242357,5.3333154,Total
31.101095,18.711603,Total
23.812693,13.000543,Total
-16.129486,10.724442,Total
-18.748823,13.280729,Total
-18.693914,13.124071,Total
-17.024185,12.890491,Total
-16.609741,12.398395,Total
-16.610489,12.402223,Total
-18.19644,18.147322,Total
-18.27221,18.002138,Total
-16.420036,11.869412,Total
-17.983046,14.189332,Total
5.8660297,33.304462,Strat
5.8397694,33.300404,Total
-17.650135,9.291257,Total
-17.420753,12.156735,Total
-17.109047,15.224896,Total
-18.10132,19.107283,Strat
8.275534,-41.720356,Total
-15.781559,13.7196865,Total
24.643103,11.499739,Total
-17.662945,9.241223,Total
-20.91343,11.916976,Total
-15.850553,9.562371,Total
-32.682392,21.472807,Total
7.4916472,-8.531779,Total
22.975655,6.6503015,Strat
1.5900779,-4.10567,Total
0.2733307,1.6119113,Total
-0.4502963,1.6684115,Total
0.73869294,1.8253384,Total
2.0818958,-2.9478433,Total
1.9767632,-3.6329703,Total
-0.39069995,1.317837,Total
0.46791655,2.3849149,Total
2.0974927,-3.4567647,Total
3.2443874,-3.371004,Total
4.796139,20.411848,Total
-11.892509,28.051754,Strat
11.504557,29.10083,Total
1.0011705,22.99444,Total
11.835744,29.690094,Total
0.4823221,22.02682,Total
-0.25080323,21.88528,Total
-10.041966,-17.7119,Total
-10.431059,9.258276,Total
-21.502043,-24.737604,Total
-31.977455,-10.067436,Total
22.017345,35.922924,Total
23.542276,35.42377,Strat
23.9698,36.17429,Total
24.467539,36.72662,Total
24.482124,37.32406,Total
23.540329,36.99248,Strat
25.485687,33.844666,Total
23.271278,33.8834,Total
22.89029,34.91327,Total
25.621962,33.30167,Total
23.130163,30.563097,Strat
23.058964,35.919094,Total
22.898548,36.47553,Total
23.538876,36.49218,Total
20.235723,36.490456,Total
23.358477,38.315712,Total
24.187155,35.576912,Total
24.567759,36.117996,Total
25.490501,37.45313,Total
23.020437,30.46573,Total
23.978254,37.470123,Strat
22.966383,37.30725,Total
25.643843,33.61931,Total
21.658176,38.165512,Total
25.14711,39.692013,Total
46.157475,-12.836536,Total
46.192776,-12.853463,Total
23.237764,30.729004,Total
25.857855,36.97027,Total
24.07107,34.833237,Total
25.349892,35.072887,Total
26.402218,35.892017,Total
26.337454,35.872253,Total
25.592655,39.099636,Total
25.683775,39.06815,Total
-14.176382,-23.941128,Total
-42.689804,-18.203154,Total
-42.67801,-18.206625,Total
-31.971899,-12.696241,Total
-25.971992,-16.733088,Total
-31.704771,-11.849992,Strat
-31.83507,-10.80285,Total
-32.864937,-2.8637805,Total
-7.3368506,-20.362486,Total
-2.2655847,-24.09456,Total
-20.27374,-5.232627,Total
-6.720385,24.344858,Total
-7.807562,25.267645,Total
-8.049639,9.633261,Total
-11.3073435,26.307467,Total
-7.426497,24.397764,Total
-11.261348,25.909958,Total
-8.924107,23.035048,Total
-13.420038,25.790413,Strat
-23.202131,8.234214,Total
-40.79849,4.2769957,Total
-6.5975494,21.349247,Total
-21.333168,25.899235,Total
-21.216291,25.958021,Total
-7.574804,23.688702,Total
-14.134754,25.885387,Total
-15.329792,26.033472,Total
-26.11357,10.570696,Total
-16.376623,25.14907,Total
-9.283664,9.539003,Total
-7.7033215,22.931202,Strat
-21.810564,8.409192,Total
-14.471276,25.850815,Total
3.483779,10.687504,Total
-6.058102,21.872246,Total
-26.017595,10.53392,Total
-9.097356,22.277836,Total
-21.166313,8.521979,Total
-22.710821,8.371019,Total
-11.9634495,24.907574,Total
-9.484728,20.983885,Total
-25.626064,10.399165,Total
-24.570704,10.125733,Total
9.067582,-41.037865,Strat
-21.723778,25.45393,Total
-21.369675,25.82772,Total
-9.058746,21.591145,Strat
-25.20868,6.3582397,Total
-7.897024,26.2733,Total
-11.410685,26.43836,Total
-4.065255,-5.4565554,Total
-4.098924,-5.477538,Total
-10.267241,25.437752,Strat
-3.4491267,-5.227403,Strat
-17.154125,-19.70523,Total
-6.068508,17.725397,Total
-25.170937,32.07831,Total
-25.224083,32.086506,Total
-16.993242,-20.041117,Total
0.8289833,-26.065746,Total
-17.190235,-19.739397,Total
7.0080957,-41.426624,Total
-26.112906,32.244305,Total
-10.913213,17.132824,Strat
-4.640296,18.389208,Total
-3.8398595,17.036562,Total
-5.196465,17.898779,Total
-5.126713,17.90368,Total
15.97372,21.25574,Total
-3.7545788,16.985033,Total
-6.798775,-17.680492,Total
6.9058805,-9.193749,Total
12.941348,39.925304,Total
-14.898729,12.026842,Total
13.04378,39.871883,Total
25.389063,18.677635,Total
-24.081095,-16.39915,Total
-2.1935086,-23.425966,Total
-1.9336421,-22.182816,Total
-2.5374281,-23.778423,Total
12.486117,40.169853,Total
8.346792,-13.546127,Total
-35.425724,-30.167185,Strat
-16.432877,-20.099512,Total
-18.030148,-20.186907,Total
-17.333996,-21.296164,Total
-37.03872,-23.920584,Total
-35.518658,-29.941687,Total
-36.37013,-29.869923,Total
-37.328163,-24.033873,Total
-37.48681,-23.78332,Total
-36.190125,-18.820969,Total
-36.14094,-18.876835,Total
-36.577244,-29.775127,Strat
-36.36878,-29.362411,Total
-38.457256,-23.53721,Total
-17.254555,-34.835506,Total
1.4494653,19.965967,Total
1.6003036,21.38467,Total
1.3777065,21.405931,Total
-7.029947,32.09388,Total
-7.109437,32.40389,Total
2.7956161,19.382217,Total
15.524613,30.759113,Total
21.624142,22.865196,Total
15.372464,30.533285,Strat
15.535726,30.690283,Total
-3.358688,-8.883341,Total
-6.628992,-0.8905993,Total
-6.5354457,-0.3967748,Total
-7.1139627,0.118731536,Total
-6.3835635,-0.60259426,Total
-5.224615,-0.5167831,Total
-5.570262,-0.5599591,Total
-6.758824,-1.528512,Total
-28.89851,-1.8887366,Strat
-0.30833134,-23.849888,Total
-0.7420338,-25.465824,Total
-0.25530583,-24.947735,Total
