tSNE1,tSNE2,Split
32.09991,-21.362429,Total
33.902832,-18.68845,Total
27.590897,-19.73404,Total
32.31427,-22.444016,Total
13.213478,-41.58688,Total
33.231224,-18.649796,Total
35.0292,-20.676132,Total
30.845228,-20.234163,Total
33.071392,-20.231682,Total
13.198763,-41.588696,Total
30.897577,-24.028349,Strat
34.84792,-20.786507,Total
30.247532,-21.296738,Total
29.70096,-20.85754,Total
32.257862,-16.806042,Strat
37.823376,-22.354298,Total
30.528738,-17.814863,Total
30.39429,-20.088821,Total
30.723047,-19.390995,Total
37.829205,-22.344341,Total
16.419662,-6.8819733,Total
17.040178,-6.1538134,Total
15.812451,-7.7039843,Total
16.146816,-7.760416,Total
16.289745,-8.3253,Total
10.966549,-43.18368,Total
12.08842,-42.695187,Total
11.467143,-43.232475,Total
11.515828,-43.36203,Total
16.785624,-5.029612,Total
16.250813,-5.0652943,Strat
14.787201,-5.6094594,Total
14.468802,-6.072479,Total
14.183458,-4.763498,Total
8.508527,-20.573584,Total
13.472486,-5.611552,Total
14.498046,-4.349389,Strat
14.434075,-4.6145687,Total
15.628198,-3.5984805,Total
15.056041,-4.54542,Total
16.569857,-3.3414662,Total
22.498493,27.542585,Total
35.02422,-17.924572,Total
29.588497,-14.963372,Total
-12.240634,-3.9135673,Total
-13.171647,-4.704904,Total
-13.44901,-4.4514546,Strat
-15.463196,-1.5214815,Total
-15.619404,-2.591127,Total
-16.75915,-3.4628732,Total
-16.877594,-3.0670962,Total
8.20397,-42.86403,Total
-16.88508,-2.9838784,Total
-15.398335,-1.7541553,Total
-14.49999,-1.2950913,Total
-14.989089,-2.92522,Total
-14.592701,-1.8984451,Total
-18.485308,4.3873835,Total
8.778231,-45.252136,Strat
9.809859,-45.6647,Strat
9.200886,-46.78118,Total
9.4817,-46.27807,Total
-37.211002,7.3370986,Total
-39.10674,5.865193,Total
-39.113037,6.0564556,Total
-36.104553,9.275714,Strat
-36.57259,9.233121,Total
-36.187416,8.651211,Total
-35.587574,8.018919,Total
-36.37678,7.3767195,Total
-36.2793,6.601784,Total
-35.683784,7.2869825,Total
-35.778687,6.3762045,Total
-39.253815,5.5081005,Total
-11.222751,-3.682062,Total
-36.69822,8.514818,Total
-37.396664,9.010028,Strat
-36.49287,6.8220224,Total
-41.252064,-1.2665505,Total
-39.366455,6.2229605,Total
-12.910584,-1.807588,Total
-12.452443,-1.809157,Strat
-12.633362,-2.9587677,Total
-12.363678,-2.2440014,Total
-12.119567,-4.019014,Total
-22.976755,5.127512,Total
-21.997843,4.4864006,Total
-12.353821,-6.039424,Total
-20.321995,0.2657917,Total
-17.348053,3.2966404,Total
-17.460669,3.0875585,Total
-17.398434,2.4080732,Strat
-16.494951,3.5749457,Total
-15.699,3.0784478,Strat
-17.031837,3.6564636,Total
-16.814543,2.815248,Total
28.027184,-17.209522,Total
11.543939,-12.669485,Total
-17.029,-34.71247,Total
-2.2394106,-18.638329,Total
29.057816,-11.446408,Total
27.342524,-14.90851,Total
26.891033,-14.361767,Total
24.341373,-13.409841,Total
6.8104386,-27.34432,Total
-36.811115,-18.316362,Total
-34.604954,-18.305391,Total
-34.921936,-19.007448,Total
-36.92916,-18.35874,Total
6.6634016,-14.044274,Total
21.739876,4.199495,Total
27.89153,-9.923981,Total
1.091822,-25.09264,Total
0.39421222,-20.809809,Total
0.38630342,-20.940443,Total
-28.255646,5.3713813,Total
-32.168354,5.3530073,Total
-32.224728,5.2699614,Total
-32.91591,6.609832,Total
-31.444914,5.556248,Total
-29.998915,4.631282,Total
-30.766708,4.642996,Total
-29.580015,4.3726296,Total
-25.90665,4.0744076,Total
-25.452328,5.1590157,Total
-31.554052,7.7332664,Total
-28.107447,4.056986,Total
25.821602,-16.932188,Strat
9.276078,-0.031093698,Total
-34.372307,4.6294537,Total
-38.2018,4.572683,Total
25.754932,-16.894888,Total
10.699178,-1.4684337,Total
-7.2786355,-28.798412,Total
-7.2999654,-28.967085,Total
14.568169,-17.144295,Total
14.510356,-17.066126,Total
14.694392,-17.297033,Total
-8.192143,-31.930088,Total
-9.596496,-34.44244,Strat
-7.301625,-33.804783,Total
-7.065035,-32.84385,Total
-6.8179784,-33.30884,Total
-7.961213,-34.199398,Total
-7.098103,-34.802372,Total
-6.4882045,-33.509045,Total
-6.053977,-32.717583,Total
-8.395504,-33.51564,Total
1.7678403,-16.537518,Total
-30.505928,6.3027706,Total
7.202853,-44.88156,Total
-30.758087,4.675477,Strat
-14.508377,23.32127,Total
27.487795,-16.478197,Total
-23.276892,-1.5580161,Total
10.695305,-1.4627092,Total
-8.857509,-37.81038,Total
-8.853781,-37.837456,Total
-8.798649,-35.39956,Total
-40.318478,4.673958,Total
8.601272,-43.528133,Total
-32.116486,3.4424849,Total
6.950602,-44.93786,Total
1.570682,-13.949305,Total
-14.030508,-13.47639,Total
-7.481724,9.099761,Strat
-7.4697776,-7.7166815,Total
-33.03618,6.907954,Total
-32.16633,4.4195538,Total
-32.742344,5.0215316,Strat
-31.056473,7.150658,Total
-7.0288363,-8.064557,Total
-28.449453,5.4129596,Strat
-26.59368,3.4112954,Total
-26.83754,2.9972496,Total
-26.447231,3.7011802,Strat
-27.653543,3.1316166,Total
23.47024,-12.825386,Total
23.456177,-13.117338,Total
-14.120846,-23.900545,Total
-3.6915944,36.867085,Strat
-6.300738,32.197113,Total
-0.89158696,29.490347,Total
-2.4624484,31.207022,Strat
48.201393,3.9171188,Total
-35.550823,-30.237476,Total
49.87567,5.800939,Total
39.595516,-10.746169,Total
-18.610865,39.092186,Total
22.450638,-33.42024,Total
4.3710933,-3.7667384,Total
-36.105133,-24.375683,Total
50.8201,5.9812374,Total
6.3548875,-1.4379368,Total
27.60372,8.434306,Total
-36.31275,-23.25904,Total
-33.40444,-22.279203,Total
-4.2154994,36.427155,Total
-2.3442972,30.811554,Total
-3.9220269,27.99829,Strat
-1.9370843,30.790741,Total
-3.000307,27.68117,Total
-3.1367164,28.314512,Total
50.123413,2.5019376,Total
50.29658,1.9385029,Total
38.84923,-12.317899,Total
38.10532,-11.6663,Total
25.254288,12.839061,Total
-5.160124,32.473793,Total
48.71821,5.0446196,Total
50.62412,3.816922,Strat
47.211567,4.8475757,Total
50.101906,4.486501,Total
49.232887,4.570217,Total
47.817795,5.8299103,Total
48.210735,2.203439,Strat
48.40468,2.1518948,Total
47.809162,6.4303718,Total
51.586567,4.3950644,Total
52.178123,4.807007,Total
51.28005,3.6087143,Total
48.672325,3.7885928,Total
22.78507,-4.7710657,Total
-4.6681886,34.438427,Total
0.29427812,30.288424,Total
0.8408471,31.056965,Total
-3.4907892,29.207222,Total
25.567148,12.237267,Strat
0.33153743,44.764587,Total
15.341751,4.593496,Total
15.434872,4.662231,Total
-37.049904,-21.283146,Total
-32.110363,-22.375484,Strat
-30.192644,-20.114384,Total
31.164806,17.87066,Total
24.89851,12.845783,Total
-3.6254392,3.1165164,Total
24.361687,12.966714,Total
10.649284,5.6198,Total
8.847039,-19.022528,Total
8.932647,-18.823122,Total
22.028172,12.72756,Total
-11.343043,-0.14192158,Strat
-16.616194,-31.820585,Total
-16.37111,-25.0503,Total
-19.267504,-26.039555,Total
-19.934004,-25.751534,Total
-20.014874,-26.501188,Total
-19.117876,-25.634098,Total
-34.444855,-2.8971865,Total
-34.742393,-2.8576603,Total
-20.324984,-25.750586,Total
-19.185751,-26.397991,Total
-20.293987,-25.276693,Total
-20.689955,-27.082785,Total
4.3688765,-20.187887,Total
0.57606727,-7.9481597,Strat
0.656256,-8.282291,Total
0.80498505,-8.310006,Total
3.2510896,-8.827945,Total
2.5080028,-8.463381,Total
0.18270005,-18.296371,Total
1.7566615,-24.214273,Total
1.738919,-24.22231,Total
-16.640335,-31.816961,Total
7.334045,-0.7142225,Total
-3.7812169,22.35489,Total
0.089718916,-19.889523,Total
4.717213,-1.0213503,Total
-2.8646247,-4.866597,Strat
30.895638,-8.420548,Total
-15.194972,-25.68433,Total
-33.307014,-8.998781,Total
-6.702527,-20.606794,Total
-3.797672,22.803955,Total
-14.335537,-32.88845,Total
-14.323236,-31.602798,Total
3.5326123,-7.270644,Total
-0.064127,-7.8894467,Total
0.11781871,-8.23639,Total
3.4308705,-8.732435,Total
27.220829,-29.766914,Total
27.083714,-29.888212,Total
5.6524234,-14.9631195,Total
24.655584,17.41088,Strat
49.49025,5.2791157,Strat
50.43326,5.25651,Total
48.68601,5.6897407,Total
7.026477,-14.541434,Total
7.859951,-9.341064,Total
51.33273,1.4114254,Total
42.24671,-14.211603,Total
42.336792,-14.113912,Total
1.491437,44.839626,Total
27.87053,-9.938698,Total
-4.5419474,36.79495,Strat
-0.86111677,32.232483,Total
-4.6227455,34.144558,Total
-3.754816,34.19646,Total
-2.5707026,36.73934,Total
-18.64937,39.069916,Strat
22.44457,-33.425842,Total
-34.221516,-30.656841,Total
-32.41629,-13.657784,Total
13.292726,15.187849,Total
15.098853,14.175048,Total
14.290141,14.9320345,Total
13.921165,14.983304,Total
14.932471,15.142981,Total
5.474735,22.790216,Total
1.2339797,45.264786,Strat
17.468708,12.026506,Total
-2.534575,2.3565683,Total
8.712772,-13.4084835,Total
-4.1474204,9.674391,Total
-4.6977572,9.616963,Total
-4.9635115,9.463631,Total
-2.9004242,36.122276,Total
-1.1938655,28.138239,Total
-1.7257313,29.959146,Total
-3.8000002,36.09798,Strat
-7.83304,30.281546,Total
-4.2629433,37.147602,Total
-6.023933,36.091312,Total
-10.055476,30.764301,Total
-5.108015,36.184933,Total
30.446453,9.305678,Total
-6.4453254,-9.172772,Total
-7.861346,30.401533,Total
24.817034,17.471508,Total
-7.2300735,36.23214,Total
-5.7301307,25.79753,Total
29.985012,13.605303,Strat
29.933743,13.649336,Total
30.596884,9.535809,Total
30.84084,8.630309,Strat
17.439976,12.056677,Total
17.425123,11.958443,Total
0.1364982,4.583641,Total
3.6740615,15.913919,Total
14.3539,5.4379907,Total
13.901558,5.5436473,Total
30.58906,12.820941,Total
2.0730615,1.67504,Total
-8.69603,33.825336,Total
30.801792,10.177947,Total
-9.978353,31.068686,Total
-38.24255,-10.834854,Strat
-38.24255,-10.837424,Total
50.49639,2.2815092,Total
40.587864,-12.630843,Total
38.02267,-13.20037,Total
39.785328,-13.441101,Total
38.355938,-13.732017,Total
39.049652,-14.433372,Total
37.424976,-13.176172,Total
40.08725,-14.037108,Total
39.62047,-14.728172,Total
40.2707,-16.094732,Strat
37.014065,-27.443302,Total
37.224533,-14.484744,Total
38.556076,-15.3920965,Total
38.81453,-13.316362,Total
-28.942726,-33.86,Total
-27.874325,-33.3766,Total
3.492375,20.15468,Total
4.592674,23.075764,Total
5.5245085,22.68909,Total
23.920675,14.765946,Total
3.3695273,18.905708,Total
4.8406754,19.348131,Total
-29.060448,-33.89956,Strat
-20.176058,14.294179,Total
40.402092,-8.885243,Total
41.843544,-9.142061,Total
42.844646,-9.985526,Total
39.919495,-8.850819,Total
42.92367,-11.388501,Total
40.880116,-11.064427,Strat
41.39347,-11.167593,Total
42.221226,-10.752321,Total
42.02908,-10.335471,Total
40.93061,-10.061455,Total
43.0688,-9.134065,Total
41.62736,-9.72891,Total
-10.5459385,-35.161995,Total
40.857746,-10.537862,Total
41.728756,-7.484156,Total
38.897747,-8.312281,Total
-37.23483,-16.52521,Total
-35.422813,-22.9895,Total
-33.145493,-21.825787,Strat
-35.96699,-22.674614,Total
-27.313576,-35.79751,Total
-26.987818,-32.973747,Total
-26.90211,-32.80959,Total
-27.027254,-33.070007,Total
-27.194973,-32.61603,Total
-26.592257,-35.761765,Total
-26.585413,-35.665245,Total
-26.543829,-35.629047,Total
2.8662796,43.886616,Total
-18.491837,-18.622736,Strat
13.04637,15.021911,Total
10.409493,10.363033,Total
12.020424,10.278432,Total
9.706969,12.198134,Total
11.257621,10.416036,Total
11.832996,10.845781,Total
11.584846,11.106158,Total
11.786644,10.501361,Total
9.716904,12.200668,Total
11.223785,10.07609,Total
5.312715,33.189953,Total
-3.468279,28.157942,Total
17.296219,-30.515694,Total
17.299551,-30.51549,Total
-34.93431,-10.5838785,Strat
-34.934437,-10.568015,Total
21.677528,-27.754452,Total
17.307835,-30.51603,Strat
-18.604269,39.71205,Total
-6.7315435,31.345263,Total
31.048828,-8.96391,Total
36.864918,-9.804233,Total
36.296253,-9.587825,Total
39.14759,-12.100294,Strat
30.157183,-10.225064,Total
0.9397398,44.872284,Total
15.803116,4.418541,Total
17.120972,7.189857,Total
17.143234,7.036432,Total
16.726683,21.042551,Total
0.1474559,44.708145,Total
3.3160486,20.017094,Total
-11.863703,28.823221,Total
4.7551937,19.357603,Strat
0.43479964,15.863302,Total
-5.080184,38.769123,Total
-2.7169292,29.78477,Total
-12.163875,29.524881,Total
-0.0073551037,28.853558,Total
12.101558,29.053436,Total
12.537679,29.584158,Total
-12.157561,28.352272,Total
13.159381,29.343351,Total
12.482175,29.642511,Total
-5.0562725,38.856754,Total
-5.7799983,33.42436,Total
-5.8939366,36.362278,Total
5.3851304,10.62599,Total
-21.555515,12.114543,Total
-21.677652,12.251339,Total
-10.528365,32.258537,Total
-11.080367,-0.11269009,Total
-11.990036,14.267095,Total
-12.760965,14.926798,Total
-11.666873,15.997734,Total
-12.52696,15.53316,Strat
-12.932027,15.164443,Total
-12.435313,15.720212,Total
-12.84751,14.577721,Total
-16.788403,-15.747552,Total
30.581429,7.9267273,Total
28.710358,7.018172,Total
29.365461,7.1483626,Total
29.062866,6.8604417,Total
28.821093,7.042679,Total
15.825077,21.272722,Total
-3.6729925,23.179146,Total
-11.690984,17.014654,Total
-18.741331,-3.5869167,Strat
-38.18297,-20.878359,Total
-23.217054,25.222485,Total
-31.05527,-24.50884,Total
-32.049374,-25.23525,Total
-30.89753,-23.758402,Total
-35.87262,-16.689785,Total
-32.61984,-24.925058,Total
-32.233524,-25.225828,Total
-34.267563,9.265101,Total
-33.239433,-24.339697,Total
-34.97149,-20.999245,Strat
-34.486675,-21.207659,Total
-14.441388,-31.34892,Total
-37.88657,-21.182526,Total
-37.11892,-16.627127,Total
29.134295,5.7380953,Total
10.312391,6.964724,Total
26.20745,16.85095,Total
26.228573,16.824438,Total
29.74105,9.410025,Total
29.393042,8.242127,Strat
29.693878,9.319201,Total
30.501677,-10.101017,Total
35.46778,-9.525598,Total
25.172249,16.075258,Strat
-26.1483,32.28908,Total
-26.340958,32.740074,Total
25.246872,16.189644,Total
-10.151095,3.6726499,Total
-2.7310593,6.912383,Total
3.8932848,27.015007,Total
-36.0644,-7.1981115,Total
-16.779272,-15.747739,Total
-10.251136,3.674597,Total
-10.444397,-20.506477,Total
27.273375,9.988405,Strat
-16.560074,18.86023,Total
-1.8105898,37.67981,Total
-2.6158617,37.297573,Total
32.53472,12.657045,Total
32.296944,12.730261,Total
33.34502,12.600641,Total
8.010682,18.316406,Total
7.5307336,17.997005,Total
8.159784,18.013222,Strat
6.3864098,26.498526,Total
7.955188,18.900692,Total
13.663412,28.153563,Total
6.8556857,-29.013838,Total
7.0127344,-31.0191,Total
-9.013658,-23.69253,Total
-1.2741191,-10.070805,Total
-22.608948,24.73043,Total
-20.739119,-7.5681086,Total
-25.499773,-4.030788,Total
-25.579063,-4.064819,Total
-14.657483,23.085632,Strat
-16.773335,24.603853,Total
-19.030058,-12.373338,Total
-20.295473,-8.111329,Total
-2.2897897,-11.420754,Total
5.4538145,11.180722,Total
-2.5357993,-13.130159,Total
1.4822172,-12.98636,Total
0.98711306,-11.706136,Total
-1.1628911,-11.461635,Total
-15.088939,22.298122,Total
-2.6899276,-13.269963,Total
-1.0207496,-11.531853,Total
-30.798874,0.6373989,Total
-0.88564813,-10.539581,Total
-30.248007,-6.292161,Total
-30.024214,-5.825735,Total
19.433348,-13.898875,Total
-0.0056049204,-11.677487,Total
-0.79423714,-11.425311,Total
