tSNE1,tSNE2,Split,Folder
-26.447231,3.7011802,Strat,1UUI_hydroxymethyl_piperidinyl_propyl
-27.653543,3.1316166,Total,1UUI_methoxypiperidin_butyl_der
23.47024,-12.825386,Total,1UUI_netilmicin
23.456177,-13.117338,Total,1UUI_sisomicin
-14.120846,-23.900545,Total,1X26
-3.6915944,36.867085,Strat,1Y26
-6.300738,32.197113,Total,1Y27
-0.89158696,29.490347,Total,"1Y27_2,6-diaminopurine"
-2.4624484,31.207022,Strat,1Y27_purine
48.201393,3.9171188,Total,1YRJ
-35.550823,-30.237476,Total,1ZTT
49.87567,5.800939,Total,1ZZ5
39.595516,-10.746169,Total,1ZZ5_paromomycin
-18.610865,39.092186,Total,209D
22.450638,-33.42024,Total,209D_AMD
4.3710933,-3.7667384,Total,209D_D-MeVal-AMD
-36.105133,-24.375683,Total,227D
50.8201,5.9812374,Total,2A04
6.3548875,-1.4379368,Total,2ARG
27.60372,8.434306,Total,2AU4
-36.31275,-23.25904,Total,2B0K
-33.40444,-22.279203,Total,2B0K_DB911
-4.2154994,36.427155,Total,2B57
-2.3442972,30.811554,Total,2B57_2-Aminopurine
-3.9220269,27.99829,Strat,2B57_7-Deazaguanine
-1.9370843,30.790741,Total,2B57_Adenine
-3.000307,27.68117,Total,2B57_Guanine
-3.1367164,28.314512,Total,2B57_Hypoxanthine
50.123413,2.5019376,Total,2BE0
50.29658,1.9385029,Total,2BEE
38.84923,-12.317899,Total,2BEE_compound_8
38.10532,-11.6663,Total,2BEE_paromomycin
25.254288,12.839061,Total,2CKY
-5.160124,32.473793,Total,2EES
48.71821,5.0446196,Total,2ESI
50.62412,3.816922,Strat,2ESJ
47.211567,4.8475757,Total,2ET3
50.101906,4.486501,Total,2ET4
49.232887,4.570217,Total,2ET5
47.817795,5.8299103,Total,2ET8
48.210735,2.203439,Strat,2F4T
48.40468,2.1518948,Total,2F4U
47.809162,6.4303718,Total,2FCX
51.586567,4.3950644,Total,2FCY
52.178123,4.807007,Total,2FCZ
51.28005,3.6087143,Total,2FD0
48.672325,3.7885928,Total,2G5K
22.78507,-4.7710657,Total,2G5K_Paromamine
-4.6681886,34.438427,Total,2G9C
0.29427812,30.288424,Total,"2G9C_2,4,5,6-tetraaminopyrimidine"
0.8408471,31.056965,Total,"2G9C_2,4,6-triamino-1,3,5-triazine"
-3.4907892,29.207222,Total,"2G9C_2,4-diaminopyrimidine"
25.567148,12.237267,Strat,2GDI
0.33153743,44.764587,Total,2GIS
15.341751,4.593496,Total,2GIS_S-adenosyl_methionine
15.434872,4.662231,Total,2GIS_SAM
-37.049904,-21.283146,Total,2GYX
-32.110363,-22.375484,Strat,2GYX_DB262
-30.192644,-20.114384,Total,2GYX_DB613
31.164806,17.87066,Total,2HOJ
24.89851,12.845783,Total,2HOK
-3.6254392,3.1165164,Total,2HOL
24.361687,12.966714,Total,2HOM
10.649284,5.6198,Total,2HOM_N6-1-Iminoethyl-L-lysine
8.847039,-19.022528,Total,2HOM_methyl_N-(4-acetylphenyl)carbamate_derivative
8.932647,-18.823122,Total,2HOM_phenylacetate_derivative
22.028172,12.72756,Total,2HOO
-11.343043,-0.14192158,Strat,2HOP
-16.616194,-31.820585,Total,2JT7
-16.37111,-25.0503,Total,2JWQ
-19.267504,-26.039555,Total,2JWQ_Compound_11
-19.934004,-25.751534,Total,2JWQ_Compound_12
-20.014874,-26.501188,Total,2JWQ_Compound_13
-19.117876,-25.634098,Total,2JWQ_Compound_18
-34.444855,-2.8971865,Total,2JWQ_Compound_19
-34.742393,-2.8576603,Total,2JWQ_Compound_20
-20.324984,-25.750586,Total,2JWQ_compound_15
-19.185751,-26.397991,Total,2JWQ_compound_6
-20.293987,-25.276693,Total,2JWQ_compound_7
-20.689955,-27.082785,Total,2JWQ_compound_9
4.3688765,-20.187887,Total,2K4L
0.57606727,-7.9481597,Strat,2K4L_Genistein
0.656256,-8.282291,Total,2K4L_Luteolin
0.80498505,-8.310006,Total,2K4L_Quercetin
3.2510896,-8.827945,Total,2K4L_Rutin
2.5080028,-8.463381,Total,2K4L_sibiromycin
0.18270005,-18.296371,Total,2KGP
1.7566615,-24.214273,Total,2KTZ
1.738919,-24.22231,Total,2KU0
-16.640335,-31.816961,Total,2KVY
7.334045,-0.7142225,Total,2KX8
-3.7812169,22.35489,Total,2L1V
0.089718916,-19.889523,Total,2L94
4.717213,-1.0213503,Total,2LOA
-2.8646247,-4.866597,Strat,2LWK
30.895638,-8.420548,Total,2M4Q
-15.194972,-25.68433,Total,2MB3
-33.307014,-8.998781,Total,2MB3_telomestatin
-6.702527,-20.606794,Total,2MG8
-3.797672,22.803955,Total,2MIY
-14.335537,-32.88845,Total,2MND
-14.323236,-31.602798,Total,2MNE_thiazotrop-sin_B
3.5326123,-7.270644,Total,2MS6
-0.064127,-7.8894467,Total,2MS6_Genistein
0.11781871,-8.23639,Total,2MS6_Luteolin
3.4308705,-8.732435,Total,2MS6_Rutin
27.220829,-29.766914,Total,2MXS
27.083714,-29.888212,Total,2N0J
5.6524234,-14.9631195,Total,2N96
24.655584,17.41088,Strat,2NZ4
49.49025,5.2791157,Strat,2O3V
50.43326,5.25651,Total,2O3W
48.68601,5.6897407,Total,2O3X
7.026477,-14.541434,Total,2OEY
7.859951,-9.341064,Total,2OEY_NCSi-gb
51.33273,1.4114254,Total,2PWT
42.24671,-14.211603,Total,2PWT_aminoglycoside_2
42.336792,-14.113912,Total,2PWT_aminoglycoside_3
1.491437,44.839626,Total,2QWY
27.87053,-9.938698,Total,2TOB
-4.5419474,36.79495,Strat,2XNW
-0.86111677,32.232483,Total,2XNW_compund_28
-4.6227455,34.144558,Total,2XNZ
-3.754816,34.19646,Total,2XO0
-2.5707026,36.73934,Total,2XO1
-18.64937,39.069916,Strat,316D
22.44457,-33.425842,Total,316D_AMD
-34.221516,-30.656841,Total,365D
-32.41629,-13.657784,Total,3CE5
13.292726,15.187849,Total,3D0U
15.098853,14.175048,Total,3DIG
14.290141,14.9320345,Total,3DIR
13.921165,14.983304,Total,3DIX
14.932471,15.142981,Total,3DJ0
5.474735,22.790216,Total,3DS7
1.2339797,45.264786,Strat,3E5C
17.468708,12.026506,Total,3E5E
-2.534575,2.3565683,Total,3E5F
8.712772,-13.4084835,Total,3EGZ
-4.1474204,9.674391,Total,3F2Q
-4.6977572,9.616963,Total,3F4G
-4.9635115,9.463631,Total,3F4H
-2.9004242,36.122276,Total,3FO4
-1.1938655,28.138239,Total,3FO4_6-bromoguanine
-1.7257313,29.959146,Total,3FO4_6-methylaminopurine
-3.8000002,36.09798,Strat,3FO6
-7.83304,30.281546,Total,3FU2
-4.2629433,37.147602,Total,3G4M
-6.023933,36.091312,Total,3GAO
-10.055476,30.764301,Total,3GCA
-5.108015,36.184933,Total,3GOT
30.446453,9.305678,Total,3IRW
-6.4453254,-9.172772,Total,3JQ4
-7.861346,30.401533,Total,3K1V
24.817034,17.471508,Total,3L3C
-7.2300735,36.23214,Total,3LA5
-5.7301307,25.79753,Total,3LA5_ligand_3
29.985012,13.605303,Strat,3M8R
29.933743,13.649336,Total,3M8S
30.596884,9.535809,Total,3MUM
30.84084,8.630309,Strat,3MUV
17.439976,12.056677,Total,3NPN
17.425123,11.958443,Total,3NPQ
0.1364982,4.583641,Total,3NPQ_ATP
3.6740615,15.913919,Total,3NPQ_Adenine
14.3539,5.4379907,Total,3NPQ_SAM
13.901558,5.5436473,Total,3NPQ_adenosine
30.58906,12.820941,Total,3OJS
2.0730615,1.67504,Total,3OJS_DTTP
-8.69603,33.825336,Total,3OWI
30.801792,10.177947,Total,3Q3Z
-9.978353,31.068686,Total,3Q50
-38.24255,-10.834854,Strat,3QSC
-38.24255,-10.837424,Total,3QSF
50.49639,2.2815092,Total,3S4P
40.587864,-12.630843,Total,3S4P_14
38.02267,-13.20037,Total,3S4P_16
39.785328,-13.441101,Total,3S4P_17
38.355938,-13.732017,Total,3S4P_19
39.049652,-14.433372,Total,3S4P_20
37.424976,-13.176172,Total,3S4P_23
40.08725,-14.037108,Total,3S4P_24
39.62047,-14.728172,Total,3S4P_25
40.2707,-16.094732,Strat,3S4P_26
37.014065,-27.443302,Total,3S4P_28
37.224533,-14.484744,Total,3S4P_29
38.556076,-15.3920965,Total,3S4P_33
38.81453,-13.316362,Total,3S4P_38
-28.942726,-33.86,Total,3SC8
-27.874325,-33.3766,Total,3SC8_BMSG-SH-2
3.492375,20.15468,Total,3SD3
4.592674,23.075764,Total,3SKI
5.5245085,22.68909,Total,3SKL
23.920675,14.765946,Total,3SLM
3.3695273,18.905708,Total,3SUH
4.8406754,19.348131,Total,3SUX
-29.060448,-33.89956,Strat,3T5E
-20.176058,14.294179,Total,3TZR
40.402092,-8.885243,Total,3TZR_Compd_32
41.843544,-9.142061,Total,3TZR_Compd_33
42.844646,-9.985526,Total,3TZR_Compd_34
39.919495,-8.850819,Total,3TZR_Compd_35
42.92367,-11.388501,Total,3TZR_Compd_36
40.880116,-11.064427,Strat,3TZR_Compd_37
41.39347,-11.167593,Total,3TZR_Compd_38
42.221226,-10.752321,Total,3TZR_Compd_39
42.02908,-10.335471,Total,3TZR_Compd_40
40.93061,-10.061455,Total,3TZR_Compd_41
43.0688,-9.134065,Total,3TZR_Compd_42
41.62736,-9.72891,Total,3TZR_Compd_43
-10.5459385,-35.161995,Total,3TZR_IRAB
40.857746,-10.537862,Total,3TZR_Neomycin_B
41.728756,-7.484156,Total,3TZR_Tobramycin
38.897747,-8.312281,Total,3TZR_sisomicin
-37.23483,-16.52521,Total,3U05
-35.422813,-22.9895,Total,3U08
-33.145493,-21.825787,Strat,3U08_DB1944
-35.96699,-22.674614,Total,3U0U
-27.313576,-35.79751,Total,3UYH
-26.987818,-32.973747,Total,3UYH_3a
-26.90211,-32.80959,Total,3UYH_3b
-27.027254,-33.070007,Total,3UYH_3c
-27.194973,-32.61603,Total,3UYH_3e
-26.592257,-35.761765,Total,3UYH_3f
-26.585413,-35.665245,Total,3UYH_3g
-26.543829,-35.629047,Total,3UYH_3h
2.8662796,43.886616,Total,3V7E
-18.491837,-18.622736,Strat,454D
13.04637,15.021911,Total,4ERJ
10.409493,10.363033,Total,4ERJ_Lysinamide
12.020424,10.278432,Total,4ERJ_Lysine
9.706969,12.198134,Total,4ERJ_Methyl-ester_lysine
11.257621,10.416036,Total,4ERJ_N-ε-acetyl_lysine
11.832996,10.845781,Total,4ERJ_N-ε-formyl_lysine
11.584846,11.106158,Total,4ERJ_N-ε-iminoethyl_lysine
11.786644,10.501361,Total,4ERJ_N-ε-methyl_lysine
9.716904,12.200668,Total,4ERJ_ethyl-ester_lysine
11.223785,10.07609,Total,4ERJ_lysine-glycine
5.312715,33.189953,Total,4FE5_2-Amino-N6-Hydroxyadenine
-3.468279,28.157942,Total,4FE5_Hypoxanthine
17.296219,-30.515694,Total,4FRG
17.299551,-30.51549,Total,4FRN
-34.93431,-10.5838785,Strat,4FXM
-34.934437,-10.568015,Total,4G0F
21.677528,-27.754452,Total,4GMA
17.307835,-30.51603,Strat,4GXY
-18.604269,39.71205,Total,4HIV
-6.7315435,31.345263,Total,4JF2
31.048828,-8.96391,Total,4K31
36.864918,-9.804233,Total,4K31_Apramycin
36.296253,-9.587825,Total,4K31_G418
39.14759,-12.100294,Strat,4K31_Paromomycin
30.157183,-10.225064,Total,4K32
0.9397398,44.872284,Total,4KQY
15.803116,4.418541,Total,4KQY_S-adenosyl_methionine
17.120972,7.189857,Total,4KQY_SAC
17.143234,7.036432,Total,4KQY_SAH
16.726683,21.042551,Total,4KZD
0.1474559,44.708145,Total,4L81
3.3160486,20.017094,Total,4LVV
-11.863703,28.823221,Total,4LVW
4.7551937,19.357603,Strat,4LVX
0.43479964,15.863302,Total,4LVY
-5.080184,38.769123,Total,4LVZ
-2.7169292,29.78477,Total,4LVZ_2-aminopurine
-12.163875,29.524881,Total,"4LVZ_6,7-dimethyl-tetrahydrobiopterin"
-0.0073551037,28.853558,Total,"4LVZ_6-hydroxy-2,4,5-triaminopyrimidine"
12.101558,29.053436,Total,4LVZ_6R-tetrahydrofolate
12.537679,29.584158,Total,4LVZ_6S-tetrahydrofolate
-12.157561,28.352272,Total,4LVZ_8-aminoadenine
13.159381,29.343351,Total,4LVZ_Lometrexol
12.482175,29.642511,Total,4LVZ_dihydrofolate
-5.0562725,38.856754,Total,4LW0
-5.7799983,33.42436,Total,4LX5
-5.8939366,36.362278,Total,4LX6
5.3851304,10.62599,Total,4NYA
-21.555515,12.114543,Total,4NYB
-21.677652,12.251339,Total,4NYC
-10.528365,32.258537,Total,4NYD
-11.080367,-0.11269009,Total,4NYG
-11.990036,14.267095,Total,4Q9Q
-12.760965,14.926798,Total,4Q9Q_BI
-11.666873,15.997734,Total,4Q9Q_DFHBI
-12.52696,15.53316,Strat,4Q9Q_FBI
-12.932027,15.164443,Total,4Q9Q_HBI
-12.435313,15.720212,Total,4Q9Q_MFHBI
-12.84751,14.577721,Total,4Q9Q_MeOBI
-16.788403,-15.747552,Total,4QIO
30.581429,7.9267273,Total,4QK8
28.710358,7.018172,Total,4QK9
29.365461,7.1483626,Total,4QKA
29.062866,6.8604417,Total,4QLM
28.821093,7.042679,Total,4QLN
15.825077,21.272722,Total,4RUM
-3.6729925,23.179146,Total,4RZD
-11.690984,17.014654,Total,4TS0
-18.741331,-3.5869167,Strat,4TS2_DBrHBI
-38.18297,-20.878359,Total,4U8A
-23.217054,25.222485,Total,4U8A_cmpnd_11
-31.05527,-24.50884,Total,4U8A_cmpnd_12
-32.049374,-25.23525,Total,4U8A_cmpnd_13
-30.89753,-23.758402,Total,4U8A_cmpnd_14
-35.87262,-16.689785,Total,4U8A_cmpnd_15
-32.61984,-24.925058,Total,4U8A_cmpnd_16
-32.233524,-25.225828,Total,4U8A_cmpnd_17
-34.267563,9.265101,Total,4U8A_cmpnd_18
-33.239433,-24.339697,Total,4U8A_cmpnd_3
-34.97149,-20.999245,Strat,4U8A_cmpnd_7
-34.486675,-21.207659,Total,4U8A_cmpnd_8
-14.441388,-31.34892,Total,4U8A_cmpnd_9
-37.88657,-21.182526,Total,4U8B
-37.11892,-16.627127,Total,4U8C
29.134295,5.7380953,Total,4W90
10.312391,6.964724,Total,4W92
26.20745,16.85095,Total,4XW7
26.228573,16.824438,Total,4XWF
29.74105,9.410025,Total,4YAZ
29.393042,8.242127,Strat,4YB0
29.693878,9.319201,Total,4YB1
30.501677,-10.101017,Total,4ZC7
35.46778,-9.525598,Total,4ZC7_G418
25.172249,16.075258,Strat,4ZNP
-26.1483,32.28908,Total,5BJO
-26.340958,32.740074,Total,5BJP
25.246872,16.189644,Total,5BTP
-10.151095,3.6726499,Total,5C45
-2.7310593,6.912383,Total,5C45_FMN
3.8932848,27.015007,Total,5C7W
-36.0644,-7.1981115,Total,5CDB
-16.779272,-15.747739,Total,5ET2
-10.251136,3.674597,Total,5KX9
-10.444397,-20.506477,Total,5LIG
27.273375,9.988405,Strat,5LWJ
-16.560074,18.86023,Total,5NPM
-1.8105898,37.67981,Total,5SWD
-2.6158617,37.297573,Total,5SWE
32.53472,12.657045,Total,5UED
32.296944,12.730261,Total,5UEE
33.34502,12.600641,Total,5UEG
8.010682,18.316406,Total,5UX3
7.5307336,17.997005,Total,5V0H
8.159784,18.013222,Strat,5V0J
6.3864098,26.498526,Total,5V0K
7.955188,18.900692,Total,5V0O
13.663412,28.153563,Total,5V0O_MPE-Fe(II)
6.8556857,-29.013838,Total,5V3F
7.0127344,-31.0191,Total,5V3F_TO3-Biotin
-9.013658,-23.69253,Total,5W77
-1.2741191,-10.070805,Total,5XI1
-22.608948,24.73043,Total,5XI1_2-(4-thiocarbamoylphenyl)benzimidazole
-20.739119,-7.5681086,Total,"5XI1_4-[5-(1,2,4-triazol-1-ylmethyl)-2,4-triazol-3-yl]pyridine"
-25.499773,-4.030788,Total,5XI1_9-amino_Acridine
-25.579063,-4.064819,Total,"5XI1_9_amino_1,2,3,4-Tetrahydro_acridine"
-14.657483,23.085632,Strat,5XI1_Amiloride
-16.773335,24.603853,Total,5XI1_Amodiaquine_di_Hcl
-19.030058,-12.373338,Total,5XI1_Bisantrene
-20.295473,-8.111329,Total,5XI1_DAPI
-2.2897897,-11.420754,Total,5XI1_Daidzein
5.4538145,11.180722,Total,5XI1_Diminazine
-2.5357993,-13.130159,Total,5XI1_Enrofloxacin
1.4822172,-12.98636,Total,5XI1_Epirubicin
0.98711306,-11.706136,Total,5XI1_Hesperidine
-1.1628911,-11.461635,Total,5XI1_Kaempferol
-15.088939,22.298122,Total,5XI1_Lamivudine
-2.6899276,-13.269963,Total,5XI1_Levofloxacin
-1.0207496,-11.531853,Total,5XI1_Luteolin
-30.798874,0.6373989,Total,5XI1_Methyl_green
-0.88564813,-10.539581,Total,5XI1_Myricetin
-30.248007,-6.292161,Total,5XI1_Nitidine_Cl
-30.024214,-5.825735,Total,5XI1_Palmatin_Chloride_Hydrate
19.433348,-13.898875,Total,5XI1_Paromomycinsulphate
-0.0056049204,-11.677487,Total,5XI1_Puerarin
-0.79423714,-11.425311,Total,5XI1_Quercetin
-26.621687,-4.5824723,Total,5XI1_Quinacrine_Di_Hcl
-27.147367,-4.908819,Total,5XI1_Rhodamine
0.96591663,-11.530962,Total,5XI1_Rutin
19.092804,-13.950408,Total,5XI1_Sisomicin_Sullphate
5.460164,11.465938,Total,5XI1_Tartrazine
-39.56294,7.8120832,Total,5XI1_Tetrachlorofluorescein
2.319142,-12.708056,Strat,5XI1_Tetracycline_Hcl
-32.315132,-2.7527816,Total,5XI1_Thiazole_Orange
19.359606,-13.783729,Total,5XI1_Tobramycin_Sulphate
6.5956845,-44.933918,Total,5XI1_Trifluoperazine
-7.0002103,7.423359,Total,6BFB
-9.293487,3.6419554,Total,6BFB_ribocil
-9.299662,3.697592,Total,6BFB_ribocil-C
-5.818243,9.125249,Total,6BFB_roseoflavin
-5.2021594,13.653137,Total,6C63
-26.098223,15.609179,Total,6C64
-5.2106595,13.664178,Total,6C65
7.080897,-30.859457,Total,6C65_TO3-B
28.363848,13.93914,Total,6CK4
1.9048972,5.2869763,Total,6CK5
0.7830305,5.1269574,Total,6CK5_ppGpp
-13.384528,3.2719343,Total,6DB8
32.144722,17.380306,Total,6DLQ
7.429464,3.5247197,Strat,6DLT_Guanidine
0.6871089,5.3952603,Total,6DLT_ppGpp
28.666914,11.877558,Total,6DMC
27.2278,33.280243,Total,6DMC_Guanidine
1.9195892,4.820788,Total,6DMC_PRPP
31.737932,16.880758,Strat,6DMD
28.584023,11.844981,Total,6DME
-7.13317,14.858003,Total,6DN1
-8.185785,13.319508,Total,6DN2
-7.2848873,14.709697,Total,6DN3
-8.041978,14.058982,Total,6DN3_BRX1027
-21.326344,19.166676,Total,6E1S
-21.34798,19.145496,Total,6E1U
-28.899183,-1.9566251,Strat,6E1V
-27.470493,15.587421,Total,6E81
-27.42418,15.570777,Total,6E84
-24.26749,16.144709,Total,6E8S
7.146572,-31.301899,Total,6E8S_TO3-Biotin
-24.646358,15.979315,Total,6E8T
6.290474,-31.069408,Total,6E8U
6.7380953,-30.730867,Total,6E8U_TO3-Biotin
-13.019996,-20.634727,Total,6F3C
2.6330025,44.45374,Total,6FZ0
-2.494371,-19.218395,Strat,6GZK
16.947948,8.292847,Total,6HAG
15.313053,3.816595,Total,6HAG_SAM
6.9387674,-0.17930879,Total,6HBT
7.4167986,3.3015604,Total,6HBT_guanidine
-3.290117,-23.506523,Total,6HMO
-15.836429,-18.92676,Total,6IJV
8.420342,-20.712015,Total,6IZP
-18.359041,39.015938,Total,6J0H
7.471025,-8.528217,Total,6J2W
-12.193135,-21.540594,Total,6JJ0
-10.83942,-17.642195,Total,6JWD
25.052027,7.139315,Total,6K3Y
24.484732,6.078183,Total,6K3Y_d(GA)
24.366714,5.945347,Total,6K3Y_d(GT)
24.343155,5.885886,Total,6K3Y_d(TG)
0.6994698,3.018024,Total,6K3Y_dGTP
-11.908185,-21.946192,Total,6KFI
5.1500216,-13.383213,Total,6KN4
5.1510086,-13.3787,Total,6KXZ
-16.452278,-32.28011,Total,6M5B
5.8151636,26.508823,Strat,6N5S
-12.190393,-21.535168,Total,6O2L
-20.899847,-15.2478695,Total,6OD9_Compound9
6.0729804,23.15201,Total,6P2H
26.687334,9.737881,Total,6P2H_riboguanosine
-11.268734,-25.397192,Total,6P45
-7.021302,-13.162752,Total,6QIQ
-7.1659307,-13.119889,Total,6QIR
-7.1588163,-13.122723,Total,6QIS
13.456736,16.852797,Strat,6QN3
-36.043533,-7.2056575,Total,6S15
-13.004839,-22.681751,Total,6SX3
27.051407,13.518988,Total,6TF1
27.281061,13.113293,Total,6TFE
26.92157,15.239396,Total,6TFF
-0.8937433,26.23423,Total,"6UBU_4,6,7,8-tetrahydro-8-hydroxy-6-methylprimido[1,2-a]purin-10(3H)-one"
-1.0133888,28.930569,Total,6UBU_6-chloroguanine
-3.314376,27.166153,Total,6UBU_8-aminohypoxanthine
-2.0197008,27.130884,Total,6UBU_8-hydroxyguanine
-3.414287,26.210836,Total,6UBU_N2-isobutyrylguanine
-3.681985,27.268713,Total,6UBU_N2-methylguanine
-2.0088904,24.81495,Total,6UBU_N2-phenoxyacetyl_guanine
-2.0397,24.929428,Total,6UBU_N2-pivaloylguanine
0.22237861,26.756903,Strat,"6UBU_N6-cyclopropyl-9H-purine-2,6-diamine"
0.23764068,26.254887,Total,6UBU_NU2058
-0.0013091981,26.24167,Total,6UBU_O6-benzylguanine
-1.7029276,29.108704,Total,6UBU_O6-methylguanine
-1.7543725,27.503216,Total,"6UBU_pyrimido[1,2-a]purin-10(1H)-one"
-5.8384204,31.576534,Total,6UC7
2.0213294,27.345026,Total,"6UC7_2,5,6-TRIAMINO-PYRIMIDINE-4-ONE"
2.2564762,27.314299,Total,6UC7_PC1
-6.274662,32.45769,Total,6UC8
-0.8712101,35.687332,Total,6UC9
-25.24028,15.779413,Total,6UP0
23.210766,6.5972667,Total,6V0L
1.8844895,-2.5556014,Total,6V0L_Acyclovir
-0.5365118,2.2705543,Strat,6V0L_GMP
1.2383661,2.3967276,Total,6V0L_GTP
-1.0324802,1.8104274,Strat,6V0L_cGMP
1.4723507,-3.281876,Total,6V0L_dG
1.3420016,2.640603,Total,6V0L_dGTP
3.259747,-3.166073,Total,6V0L_guanine
-29.311916,13.127167,Total,6V9B
-29.29816,13.134964,Total,6V9D
-11.815906,-11.699623,Total,6VA2
1.8615351,-15.940899,Strat,6VA2_Amatantrone
-19.603422,-9.130078,Total,6VA2_Compound1
-11.025582,7.6529713,Total,6VA2_Compound10
3.3213851,9.332316,Total,6VA2_Compound11
-19.698278,-9.044237,Total,6VA2_Compound2
-19.011944,-12.374728,Total,6VA2_Compound3
-10.920276,7.66479,Total,6VA2_Compound6
-10.694528,7.8874187,Total,6VA2_Compound7
-11.073634,-8.073609,Total,6VA2_Compound8
23.31832,-17.944641,Total,6VA2_Guanidinoamine
1.8010914,-16.340654,Total,6VA2_Mitoxantrone
18.266342,-12.1369,Strat,6VA2_Neamine
-0.34227905,-23.81646,Total,6VA3
-1.6874938,-20.77217,Total,6VA4
-0.04661334,14.231839,Total,6WZR
-0.7400627,4.439884,Total,6WZR_Compound1
-7.7718377,10.00869,Total,6WZR_Compound10
-0.57867694,13.283963,Total,6WZR_Compound12
-0.9777031,13.077234,Total,6WZR_Compound13
1.3180641,14.562301,Total,6WZR_Compound2
-18.400166,10.829994,Total,6WZR_Compound3
11.719107,-12.761151,Total,6WZR_Compound4
0.8130107,13.8276615,Total,6WZR_Compound5
-0.58092356,13.2702875,Total,6WZR_Compound7
0.3135077,13.426828,Total,6WZR_Compound8
-0.3654414,14.045367,Total,6WZS
7.7208533,-5.3502607,Total,6XB7
16.387053,9.136624,Total,6YL5
3.7541177,43.572758,Total,6YLB
11.866115,5.0982585,Total,6YML
3.2202113,43.849133,Total,6YMM
-10.843465,-16.703295,Strat,7A3Y
-31.468067,-6.811776,Total,7A3Y_COP
-31.064806,-6.4148684,Total,7A3Y_EBRB
-30.82106,-5.68683,Total,7A3Y_PAM
16.311,15.625865,Total,7D12
28.164112,15.340981,Total,7D7W
28.592136,14.618358,Total,7D7X
30.711271,17.4611,Total,7D7Z
29.445953,15.867986,Total,7D81
30.018795,16.557896,Total,7D82
17.039333,8.99178,Total,7DWH
4.2152753,9.780992,Strat,7E9I
-10.7860985,27.681307,Total,7E9I_PreQ1
12.533654,31.369564,Total,7ELP
-9.109691,36.466537,Total,7ELQ
-8.036282,36.636547,Total,7ELS
-33.823505,18.678349,Total,7EOI
-33.16959,19.627266,Total,7EOK
-33.058327,19.658895,Total,7EOL
-32.991062,19.136131,Total,7EOM
-33.737183,19.523169,Total,7EON
-32.517902,18.726316,Total,7EOO
-33.851242,19.920902,Strat,7EOP
-7.8596697,-17.701675,Total,7KBW
-7.857013,-17.704626,Total,7KBX
-36.7747,-23.034084,Total,7KU4
7.324023,-41.703434,Total,7KVT
-13.653051,28.199768,Total,7KVV
-36.843086,-22.881828,Total,7KWK
-11.2355385,-25.482214,Total,7MKT
-11.897237,-17.356192,Total,7MSV
-10.856396,-17.570288,Total,7N7D
-27.201092,31.041946,Strat,7OA3
-27.241058,31.035088,Total,7OAV
-23.334665,16.66775,Total,7OAW
-27.445593,31.163792,Total,7OAX
-7.385926,-20.29581,Strat,7PNG
-33.537106,-2.903322,Total,7PNG_Cryptolepine
-7.6389017,31.771465,Total,7Q7X
-5.491643,28.201406,Total,7Q80
10.443834,5.835268,Total,7Q81_guanine
-4.2970138,24.371075,Total,7REX
-5.083903,7.0129848,Strat,7RWR
-2.508628,6.683809,Total,7RWR_FAD
-6.3220954,9.211542,Total,7RWR_riboflavin
15.076771,21.366684,Total,7SXP
-24.474598,-12.780511,Total,7SXP_Abemaciclib
-26.63919,-10.485335,Total,7SXP_Compound_16
-26.152313,-11.6608925,Total,7SXP_Compound_17
-23.777542,-10.4463825,Total,7SXP_Compound_18
-24.67985,-11.261043,Strat,7SXP_Compound_2
-26.14764,-12.777487,Total,7SXP_Compound_24
-26.874765,-11.735213,Total,7SXP_Compound_25
-24.668726,-11.674998,Total,7SXP_Compound_3
-24.947424,-7.918058,Strat,7SXP_Compound_6
-25.571474,-10.670252,Total,7SXP_Compound_7
-25.62919,-9.679665,Total,7SXP_Compound_8
-27.415339,-9.942265,Total,7SXP_Hit_S5
-11.781426,7.320467,Total,7SXP_Hit_S8
-26.294598,-10.881711,Total,7SXP_NRAS_SAR_24
-24.684412,-11.624442,Total,7SXP_NRAS_SAR_3
-24.956629,-7.962412,Total,7SXP_NRAS_SAR_6
-27.84701,-11.938031,Total,7SXP_NRAS_compound_1
-23.143871,-11.921692,Total,7SXP_Nafamostat
12.740816,-13.585396,Total,7SXP_Valnemulin
-32.68038,21.465809,Total,7SZU
18.416334,-2.6897998,Total,7TD7_MDP
-16.242357,5.3333154,Total,7TD7_pyrithiamine
31.101095,18.711603,Total,7TDA
23.812693,13.000543,Total,7TDB
-16.129486,10.724442,Total,7TZR
-18.748823,13.280729,Total,7TZS
-18.693914,13.124071,Total,7TZS_Molecule_1
-17.024185,12.890491,Total,7TZS_Molecule_10
-16.609741,12.398395,Total,7TZS_Molecule_11
-16.610489,12.402223,Total,7TZS_Molecule_12
-18.19644,18.147322,Total,7TZS_Molecule_13
-18.27221,18.002138,Total,7TZS_Molecule_14
-16.420036,11.869412,Total,7TZS_Molecule_2
-17.983046,14.189332,Total,7TZS_Molecule_3
5.8660297,33.304462,Strat,7TZS_Molecule_35
5.8397694,33.300404,Total,7TZS_Molecule_36
-17.650135,9.291257,Total,7TZS_Molecule_39
-17.420753,12.156735,Total,7TZS_Molecule_4
-17.109047,15.224896,Total,7TZS_Molecule_5
