tSNE1,tSNE2,Split,Folder
-10.608522,-6.4952006,Total,"1PBR_4-hydroxy-2-oxo-N-(3-(piperidin-1-yl)propyl)-1,2,3,4,5,6,7,8-octahydroquinoline-3-carboxamide"
-12.025493,-6.555812,Total,"1PBR_4-hydroxy-2-oxo-N-(3-(piperidin-1-yl)propyl)-1,2-dihydroquinoline-3-carboxamide"
-19.13419,3.0887272,Total,1PBR_4-methylquinolin-2-amine
-20.024418,0.65831286,Total,"1PBR_4-pyridineacetamide,_N-_[2-_(dimethylamino)-4-methyl-7-quinolinyl]"
-14.256428,0.9983112,Strat,"1PBR_5,6-dimethyl-1H-1,3-benzodiazol-2-amine"
-15.461772,0.52384967,Total,"1PBR_5,6-dimethyl-1H-1,3-benzodiazole"
-15.923661,-7.828084,Total,1PBR_5E1bromophenyl52piperazin1
-14.398979,0.4454253,Total,"1PBR_6,7-dimethyl-1H-1,3-benzodiazol-2-amine"
-24.48159,1.1339732,Strat,"1PBR_6-chloro-3-((4-methyl-1,4-diazepan-1-yl)methyl)-4H-chromen-4-one"
-24.37523,1.0463643,Total,"1PBR_6-methyl-3-((4-methyl-1,4-diazepan-1-yl)methyl)-4H-chromen-4-one"
-13.134681,-7.6756973,Total,"1PBR_7-(2-(azocan-1-yl)ethyl)-3-methyl-1H-purine-2,6(3H,7H)-dione"
-15.966334,-6.079492,Total,"1PBR_7-benzyl-3-methyl-8-(piperazin-1-yl)-1H-purine-2,6(3H,7H)-dione"
-21.933834,0.038345434,Total,1PBR_7-hydroxy-3-(2-methoxyphenyl)-8-(piperidin-1-ylmethyl)-4H-chromen-4-one
-16.611536,-5.0904803,Total,"1PBR_8-bromo-3-(2-(piperazin-1-yl)ethyl)-3H-pyrimido[5,4-b]indol-4(5H)-one"
-14.649586,-5.4080234,Total,"1PBR_8-methyl-3-(2-(pyrrolidin-1-yl)ethyl)-3H-pyrimido[5,4-b]indol-4(5H)-one"
-17.700348,1.8038137,Total,1PBR_ADMND-C2-NH2
13.190178,-8.883011,Total,1PBR_Acyclic_DOS_mimic_1_biphenyl_substituent
13.137531,-8.854083,Total,1PBR_Acyclic_DOS_mimic_2_naphthyl_substituent
13.549346,-8.667475,Total,1PBR_Acyclic_DOS_mimic_3_benzyl_substituent
29.37879,-21.90411,Total,1PBR_Aminoglycoside_derivative_1
28.682053,-21.00928,Strat,1PBR_Aminoglycoside_derivative_10
29.885288,-23.654507,Total,1PBR_Aminoglycoside_derivative_12
31.312592,-21.015207,Total,1PBR_Aminoglycoside_derivative_13
28.857574,-21.81516,Total,1PBR_Aminoglycoside_derivative_14
32.302353,-24.040585,Total,1PBR_Aminoglycoside_derivative_15
31.623718,-23.054672,Total,1PBR_Aminoglycoside_derivative_16
30.66677,-22.22749,Total,1PBR_Aminoglycoside_derivative_17
28.36552,-21.771927,Total,1PBR_Aminoglycoside_derivative_18
29.088228,-23.550993,Total,1PBR_Aminoglycoside_derivative_19
29.665127,-22.747734,Total,1PBR_Aminoglycoside_derivative_2
29.540394,-22.207159,Total,1PBR_Aminoglycoside_derivative_20
32.989487,-24.240473,Total,1PBR_Aminoglycoside_derivative_25
29.400434,-20.270395,Total,1PBR_Aminoglycoside_derivative_3
32.44424,-23.205582,Strat,1PBR_Aminoglycoside_derivative_33
29.46803,-19.80253,Total,1PBR_Aminoglycoside_derivative_4
28.725166,-18.17267,Total,1PBR_Aminoglycoside_derivative_6
27.248032,-21.612806,Strat,1PBR_Aminoglycoside_derivative_8
28.470226,-22.860344,Total,1PBR_Aminoglycoside_derivative_9
18.06562,-6.3100944,Total,1PBR_Azepane_aminoglycoside_mimic_1
17.633825,-6.6730404,Total,1PBR_Azepane_aminoglycoside_mimic_3
29.277359,-16.145893,Total,1PBR_Bekanamycin
-14.087149,-3.2022288,Total,1PBR_Benzimidazole_16S_A-site_RNA
25.965866,-23.052208,Total,1PBR_Bifunctional_aminoglycoside_derivative_1
26.689594,-24.239542,Total,1PBR_Bifunctional_aminoglycoside_derivative_2
35.373756,-28.186653,Total,1PBR_Bifunctional_aminoglycoside_derivative_3
35.135574,-27.471224,Total,1PBR_Bifunctional_aminoglycoside_derivative_4
35.283115,-28.104816,Total,1PBR_Bifunctional_aminoglycoside_derivative_5
34.05681,-27.970379,Total,1PBR_Bifunctional_aminoglycoside_derivative_6
35.264446,-27.738123,Total,1PBR_Bifunctional_aminoglycoside_derivative_7
3.0975358,10.198327,Total,1PBR_DIONE_DERIVATIVE
27.592308,-17.951096,Total,1PBR_Deoxy_fluoro_paromomycin
15.121295,-23.975733,Total,1PBR_Diamino_piperidinyl_triazine_1
14.424016,-24.131023,Total,1PBR_Diamino_piperidinyl_triazine_2
13.81968,-24.310587,Strat,1PBR_Diamino_piperidinyl_triazine_3
14.812546,-21.537523,Total,1PBR_Diamino_piperidinyl_triazine_4
14.773827,-21.738771,Total,1PBR_Diamino_piperidinyl_triazine_5
14.258219,-22.43648,Total,1PBR_Diamino_piperidinyl_triazine_6
14.604214,-22.911121,Total,1PBR_Diamino_piperidinyl_triazine_7
14.546383,-23.44847,Strat,1PBR_Diamino_piperidinyl_triazine_8
14.040185,-23.907736,Total,1PBR_Diamino_piperidinyl_triazine_9
22.595793,-21.648472,Total,1PBR_Edeine_mol
33.52938,-22.947155,Total,1PBR_Ether_paromomycin_derivative_1
32.258568,-19.50602,Total,1PBR_Ether_paromomycin_derivative_3
28.900494,-16.574612,Total,1PBR_Ether_paromomycin_derivative_4
30.264528,-18.701168,Total,1PBR_Ether_paromomycin_derivative_5
31.343765,-18.40641,Total,1PBR_Ethyl_paromomycin_derivative_2
-17.910728,-3.2183986,Total,1PBR_Halogen_substituted_benzimidazole
10.373551,-5.9600515,Total,1PBR_Heterocyclic_paromomycin_derivative_1
13.1745615,-4.262121,Total,1PBR_Heterocyclic_paromomycin_derivative_2
12.108687,-5.1364045,Total,1PBR_Heterocyclic_paromomycin_derivative_3
11.901811,-5.231685,Total,1PBR_Heterocyclic_paromomycin_derivative_4
18.704243,-4.7086077,Strat,1PBR_Kasugamycin
-20.959843,-0.29668275,Total,1PBR_Ligand1_16S_A-site_RNA
-11.544034,-6.490671,Total,1PBR_Ligand2_16S_A-site_RNA
-23.14219,3.5337083,Total,1PBR_Ligand3_16S_A-site_RNA
-20.643946,2.492548,Total,1PBR_Ligand5_16S_A-site_RNA
-20.050646,3.386104,Total,"1PBR_N,4-dimethylquinolin-2-amine"
-19.200232,2.9303534,Total,"1PBR_N,N,4-trimethylquinolin-2-amine"
-20.08876,4.9586635,Total,"1PBR_N,N-dimethylquinolin-2-amine"
-16.110872,-10.571316,Total,1PBR_N-(2-morpholinoethyl)-1-(naphthalen-1-ylmethyl)piperidine-4-carboxamide
-21.095024,-3.0193353,Total,1PBR_N-(4-bromo-3-methylphenyl)-3-(4-ethylpiperazin-1-yl)propanamide
-18.923908,3.6226952,Total,1PBR_N-methylquinolin-2-amine
-21.946253,1.3131298,Strat,"1PBR_N1-(3,7-dimethoxynaphthalen-1-yl)pentane-1,4-diamine"
-20.62634,-1.2204412,Total,1PBR_N1-isopropyl-N2-(2-(4-(4-methylbenzoyl)piperazin-1-yl)ethyl)oxalamide
16.847084,-8.678194,Total,1PBR_Neamine
24.216959,-19.711948,Total,1PBR_Neamine_derivative_1
13.175378,-3.406207,Total,1PBR_Neamine_derivative_14
9.503544,-42.361996,Total,1PBR_Neamine_derivative_15
11.161879,-4.3309193,Total,1PBR_Neamine_derivative_18
12.32279,-4.071327,Total,1PBR_Neamine_derivative_19
24.180872,-19.848335,Total,1PBR_Neamine_derivative_2
9.188304,-42.946587,Total,1PBR_Neamine_derivative_20
5.253587,8.865587,Total,1PBR_Neamine_derivative_26
5.316897,8.82377,Total,1PBR_Neamine_derivative_27
13.940786,-3.1499848,Total,1PBR_Neamine_derivative_28
9.429852,-42.622402,Total,1PBR_Neamine_derivative_29
24.485607,-19.139118,Total,1PBR_Neamine_derivative_3
9.343295,-42.503223,Total,1PBR_Neamine_derivative_30
23.464403,-16.048826,Total,1PBR_Neamine_derivative_4
24.422453,-20.675398,Total,1PBR_Neamine_derivative_5
23.601019,-22.04725,Total,1PBR_Neamine_derivative_6
23.627378,-21.943375,Total,1PBR_Neamine_derivative_7
20.229158,-7.24988,Strat,1PBR_Neamine_mimic_1
20.478376,-8.22667,Total,1PBR_Neamine_mimic_2
19.057045,-8.481984,Total,1PBR_Neamine_mimic_3
19.119307,-8.269681,Total,1PBR_Neamine_mimic_4
19.950209,-8.125753,Total,1PBR_Neamine_mimic_5
