Threshold,Accuracy,Precision,Recall,F1
0.0,0.3314500941619586,0.3314500941619586,1.0,0.4978783592644979
0.01,0.3314500941619586,0.3314500941619586,1.0,0.4978783592644979
0.02,0.3352165725047081,0.332703213610586,1.0,0.4992907801418439
0.03,0.3493408662900188,0.3374880153403643,1.0,0.5046594982078852
0.04,0.3644067796610169,0.3427458617332035,1.0,0.5105148658448151
0.05,0.384180790960452,0.349601593625498,0.9971590909090908,0.5176991150442478
0.06,0.4048964218455744,0.3574338085539715,0.9971590909090908,0.5262368815592204
0.07,0.4303201506591337,0.3675392670157068,0.9971590909090908,0.5371078806426932
0.08,0.448210922787194,0.375,0.9971590909090908,0.5450310559006212
0.09,0.4661016949152542,0.3827699018538713,0.9971590909090908,0.5531914893617021
0.1,0.4839924670433145,0.3908685968819599,0.9971590909090908,0.5616
0.11,0.4990583804143126,0.3977272727272727,0.9943181818181818,0.5681818181818181
0.12,0.5150659133709982,0.4051222351571595,0.9886363636363636,0.5747316267547481
0.13,0.527306967984934,0.4113475177304964,0.9886363636363636,0.5809682804674458
0.14,0.5404896421845574,0.4182692307692308,0.9886363636363636,0.5878378378378379
0.15,0.5527306967984934,0.4247246022031823,0.9857954545454546,0.5936698032506417
0.16,0.5734463276836158,0.4364779874213836,0.9857954545454546,0.6050566695727986
0.17,0.5847457627118644,0.4430217669654289,0.9829545454545454,0.6107678729037952
0.18,0.5951035781544256,0.44921875,0.9801136363636364,0.6160714285714286
0.19,0.603578154425612,0.4540612516644474,0.96875,0.6183136899365368
0.2,0.6148775894538606,0.4613297150610583,0.9659090909090908,0.6244260789715336
0.21,0.6337099811676082,0.4741258741258741,0.9630681818181818,0.6354264292408622
0.22,0.6506591337099812,0.4863701578192252,0.9630681818181818,0.646329837940896
0.23,0.6544256120527306,0.4889867841409692,0.9460227272727272,0.6447241045498548
0.24,0.6629001883239172,0.4955223880597015,0.9431818181818182,0.649706457925636
0.25,0.672316384180791,0.5030487804878049,0.9375,0.6547619047619049
0.26,0.6864406779661016,0.5150078988941548,0.9261363636363636,0.6619289340101523
0.27,0.704331450094162,0.53125,0.9176136363636364,0.6729166666666667
0.28,0.7175141242937854,0.543918918918919,0.9147727272727272,0.6822033898305084
0.29,0.724105461393597,0.5516637478108581,0.8948863636363636,0.6825568797399783
0.3,0.7354048964218456,0.5637342908438061,0.8920454545454546,0.6908690869086909
0.31,0.7410546139359698,0.5703839122486288,0.8863636363636364,0.6941045606229144
0.32,0.7410546139359698,0.5719626168224299,0.8693181818181818,0.689966178128523
0.33,0.743879472693032,0.5760456273764258,0.8607954545454546,0.6902050113895216
0.34,0.7504708097928436,0.5851272015655578,0.8494318181818182,0.6929316338354579
0.35,0.7551789077212806,0.5938775510204082,0.8267045454545454,0.6912114014251781
